"action query","ھەرىكەت سۈرۈشتۈرمىسى"
"action row","ھەرىكەت قۇرى"
"action statement","ھەرىكەت ئىبارىسى"
"activate","ئاكتىپلاشتۇرماق"
"activation","ئاكتىپ"
"active","ئاكتىپ"
"active cell","ئاكتىپ كاتەكچە"
"active content","ئاكتىپ مەزمۇن"
"Active Directory-based activation","Active Directory ئاساسىدا ئاكتىپلاشتۇرۇش"
"Active Directory Domain Services","Active Directory دائىرە مۇلازىمىتى"
"Active Directory Federation Services","Active Directory بىرلەشمىسى"
"active document","ئاكتىپ پۈتۈك"
"active document window","ئاكتىپ ھۆججەت كۆزنىكى"
"active field","ئاكتىپ ئورۇن"
"active hours","ئاكتىپ ۋاقىت"
"Active Server Pages","Active Server Pages"
"active sheet","ئاكتىپ جەدۋەل"
"active window","ئاكتىپ كۆزنەك"
"ActiveX","ActiveX"
"ActiveX control","ActiveX كونترولى"
"ActiveX Data Objects","ActiveX Data Objects"
"ActiveX object","ActiveX ئوبيېكتى"
"activity","پائالىيەت"
"Activity","مەشغۇلات"
"activity feed","پائالىيەت مەنبەسى"
"Activity Reporting","پائالىيەت دوكلاتى"
"actual","ھەقىقىي"
"actual work","ئەمەلىي ئىش"
"ADAL","ADAL"
"adapter","ماسلاشتۇرغۇچ"
"add","قوشماق"
"Add Cite","نەقىل قوشۇش"
"add-in","قىستۇرما"
"additional optional connected experience","قوشۇمچە تاللانما باغلانما ئىقتىدار"
"additional requirement","قوشۇمچە تەلەپ"
"add-on","قوشۇمچە ئۈسكۈنە"
"address","ئادرېس"
"Address Bar Top Result","ئەڭ ئەلا نەتىجە"
"address book","ئادرېس دەپتىرى"
"Address Book","ئادرېس دەپتىرى"
"AD DS","ئا م د م"
"Add Space","بوشلۇق قوشۇش"
"Add to my OneDrive","OneDrive بوشلۇقۇمغا قوشۇش"
"Add to OneNote","OneNote قا قوشۇش"
"ad-free","ئېلانسىز"
"ad mediation","ئېلان تاراتقۇسى"
"admin","باشقۇرغۇچى"
"administrator","باشقۇرغۇچى"
"administrator account","باشقۇرغۇچى ھېساباتى"
"ADO","ADO"
"adoption","كۆنۈش"
"Adventure","تەۋەككۈلچىلىك"
"advertising ID","ئېلان كىملىكى"
"aerial view","بوشلۇق كۆرۈنمىسى"
"Aero","Aero"
"affiliate","تارماق"
"affiliate marketing","بازار ھەمكارلىقى"
"Affiliate Program","تارماق پروگرامما"
"agenda","كۈنتەرتىپ"
"Agenda view","كۈنتەرتىپ كۆرۈنۈشى"
"agent","ۋاكالەتچى"
"aggressive address acquisition retry","ئاكتىپ ئادرېس ئېرىشىشنى قايتا سىناش"
"Agile method","چېۋەر ئۇسۇل"
"AI","AI"
"AIA","AIA"
"airplane mode","ئايروپىلان ھالىتى"
"AKI","AKI"
"alarm","قوڭغۇراق"
"Alarms & Clock","قوڭغۇراق ۋە سائەت"
"album","ئالبوم"
"album info","پىلاستىنكا ئۇچۇرى"
"alert","ئاگاھلاندۇرۇش"
"alias","باشقا نام"
"align","توغرىلىماق"
"alignment","توغرىلاش"
"alignment guide","يۆنىلىش يېتەكچىسى"
"alignment tab","يۆنىلىش بەتكۈچى"
"allocate","تەقسىملەش"
"allocation","تەقسىملەش"
"allow","رۇخسەت قىلىش"
"Allow","رۇخسەتنامە"
"All rights reserved.","بارلىق ھوقۇقى قوغدىلىدۇ."
"All services","بارلىق مۇلازىمەتلەر"
"alternate calendar","زاپاس كالېندار"
"Alternating Flow","ماسلىشىشچان ئېقىم"
"alternative text","تاللانما تېكست"
"ALT text","قوشۇمچە تېكىست"
"Always Move gallery","ھەرىكەتچان توپلام"
"American Standard Code for Information Interchange","ئامېرىكا ئۆلچەملىك ئۇچۇر ئالماشتۇرۇش كودى"
"amount","مىقدار"
"analogous colors","قوشنا رەڭ"
"Analytics Service","ئانالىز مۇلازىمىتى"
"ancestor","ئەجداد"
"ancestor element","ئەجداد ئېلېمېنتى"
"angle indicator","بۇلۇڭ كۆرسەتكۈچ"
"animate","ھەرىكەتلەنمەك"
"animated GIF","ھەرىكەتلىك GIF"
"animation","ھەرىكەت"
"animation effect","ھەرىكەتچان ئۈنۈم"
"Animation Painter","ھەرىكەتچان رەسىمچى"
"animation scheme","ھەرىكەت سىخېمىسى"
"animation style","ھەرىكەتچان ئۇسلۇب"
"animation trigger","ھەرىكەتچان سۈرەت قوزغاتقۇچى"
"anonymizer","يوشۇرۇن زىيارەتچى"
"anonymous","يوشۇرۇن"
"answer","ئالماق"
"anti aliasing","سىلىقلاش"
"antimalware program","زىيانلىق دېتالغا قارشى پىروگرامما"
"antimalware software","زىيانلىق دېتالغا قارشى دېتال"
"anti-shake","سىلكىنىشكە قارشى"
"anti-shake feature","سىلكىنىشكە قارشى ئىقتىدار"
"antispyware program","جاسۇسخور دېتالغا قارشى پىروگرامما"
"antispyware software","جاسۇسخور دېتالغا قارشى پىروگرامما"
"apartment","بۆلۈمچە"
"API","API"
"app","ئەپ"
"app bar","ئەپ بالدىقى"
"App & browser control","ئەپ ۋە تور كۆرگۈچ تىزگىنى"
"app bundle","ئەپ توپلىمى"
"App Catalog","ئەپ كاتالوگى"
"app command","ئەپ بۇيرۇقلىرى"
"App connector","ئەپ ئۇلىغۇچ"
"app container","ئەپ قاچىسى"
"app custom action","ئەپ ئۆزلەشتۈرمە مەشغۇلاتى"
"app drawer","خادىم"
"Appear offline","يوشۇرۇن"
"append query","ئاخىرىغا قوشۇش سۈرۈشتۈرمىسى"
"app frame","ئەپ رامكىسى"
"app launcher","ئەپ قوزغاتقۇچ"
"applet","ئاپلېت"
"application","قوللانما"
"application data","ئەپ مەلۇماتى"
"Application Guard","ئەپ قوغدىغۇچ"
"application note","ئەپ كۆرسەتمىلىرى"
"application single-threaded apartment","قوللانما دېتال يەككە ئېقىملىق بۆلۈمچىسى"
"apply","قوللانماق"
"App Monitor","ئەپ باشقۇرغۇچ"
"app name","ئەپ نامى"
"app package","ئەپ بولىقى"
"app part","ئەپ قىسمى"
"app preview","ئەپ كۆرۈپ بېقىش"
"App protection","ئەپ قوغداش"
"Apps and Quizzes","ئەپلەر ۋە سىناقلار"
"app step","ئەپ باسقۇچلىرى"
"App Summary","ئەپ خۇلاسىسى"
"app switch","ئەپ ئالمىشىش"
"app switching","ئەپ ئالمىشىش"
"App to App sign in","ئەپتىن ئەپكە تىزىملاپ كىرىش"
"App Update","ئەپ يېڭىلاش"
"archive","ئارخىپلىماق"
"Archive","ئارخىپ"
"archive mailbox","ئارخىپدان"
"Archiving in Office 365","Office 365 تە ئارخىپلاش"
"area","دائىرە"
"area chart","سېلىشتۇرما گىرافىك"
"area code","رايون نومۇرى"
"argument","دەلىل"
"arrangement","ئورۇنلاشتۇرۇش"
"array","رەت"
"ARRAY","قاتار"
"array constant","گۇرۇپپا تۇراقلىق مىقدارى"
"array formula","گۇرۇپپىلىق فورمۇلا"
"Arrow Ribbon","يۆلىنىشلىك تاسما"
"article","ماقالە"
"artificial intelligence","سۈنئىي ئاڭ"
"artist","سەنئەتكار"
"artistic effect","بەدىئىي ئۈنۈم"
"ASCII","ASCII"
"Ask a parent","ئاتا-ئانىلاردىن سوراش"
"Ask Cortana","Cortana دىن سوراش"
"ASP","ASP"
"aspect","نىسبەت"
"aspect ratio","ئۇزۇنلۇق-كەڭلىك نىسبىتى"
"ASP.NET","ASP.NET"
"asset","مۈلۈك"
"assigned task","تاپشۇرۇلغان ۋەزىپە"
"assignee","ۋاكالەتچى"
"assignment","ۋەزىپە"
"Assignments","ۋەزىپىلەر"
"assistant shape","ياردەمچى شەكىلى"
"assistive technology","ياردەمچى تېخنىكا"
"associated PivotTable report","مۇناسىۋەتلىك PivotTable دوكلاتى"
"ASTA","ASTA"
"asterisk","يۇلتۇز بەلگىسى"
"ATM","ئاپتوماتىك بانكا"
"attach","قىستۇرماق"
"attachment","قىستۇرۇلما"
"Attachment","يۈكلىمە"
"Attachment Previewer","يۈكلەنمە كۆرگۈچ"
"Attachment Previewing","يۈكلەنمە كۆرۈش"
"Attachment Reminder","يۈكلەنمە گۈدۈكى"
"attack surface","ھۇجۇم يۈزى"
"Attendee/Recipient List","قاتناشقۇچى/تاپشۇرۇۋالغۇچى تىزىملىكى"
"attention","دىققەت"
"attribute","خاسلىق"
"AUD","AUD"
"audio","ئۈن"
"audio call","ئاۋاز ئالاقىسى"
"audio CD","ئۈن CD"
"audio challenge","ئاۋازلىق سۈرۈشتۈرۈش"
"Audio Conferencing","ئاۋازلىق يىغىن"
"audio style","ئۈن ئۇسلۇبى"
"audio waveform","ئاۋاز دولقۇنى سىخېمىسى"
"authentication","تەستىق"
"authentication database","كىملىك تەكشۈرۈش ئامبىرى"
"authentication method","كىملىك تەكشۈرۈش ئۇسۇلى"
"author","ئاپتور"
"authoring canvas","ئىجادىيەت تاختىسى"
"authority information access","ھوقۇقلۇق ئۇچۇر زىيارىتى"
"Authority Key Identifier","ھوقۇقلۇق ئاچقۇچ پەرقلەندۈرگۈچ"
"authorization","ھوقۇق بېرىش"
"authorize","ئىجازەتلەش"
"Author Marks","يازغۇچى بەلگىسى"
"AutoArchive","ئاپتوماتىك ئارخىپلاش"
"auto attendant","ئاپتوماتىك قاتناشقۇچى"
"Auto Collage","ئاپتوماتىك بىرىكتۈرۈش"
"AutoComplete","ئاپتوماتىك تاماملاش"
"AutoCorrect","ئاپتوماتىك توغرىلاش"
"Auto-Extend","ئۆزلىكىدىن كېڭيىش"
"Auto Fill","ئۆزتولدۇرۇش"
"AutoFill","ئۆزتولدۇرۇش"
"AutoFilter","ئاپتوماتىك سۈزگۈچ"
"autoformat","تەييار ئەندىزە"
"AutoLayout","ئاپتوماتىك لايھە"
"automatic","ئاپتوماتىك"
"automatically save","ئاپتوماتىك ساقلاش"
"automatic file restore","ئاپتوماتىك ھۆججەت ئەسلىگە قايتۇرۇش"
"Automatic Maintenance","ئاپتوماتىك ئاسراش"
"Automatic Replies","ئاپتوماتىك جاۋابلار"
"automatic reply","ئاپتوماتىك جاۋاب"
"Automation","ئاپتوماتلاشتۇرۇش"
"Automation object","ئاپتوماتلاشقان ئوبيېكت"
"Automotive","ئاپتوموبىل"
"AutoPlay","ئاپتوماتىك قويۇش"
"AutoPreview","ئاپتوماتىك نەزەر"
"auto-recharge","ئاپتوماتىك قىممەت تولۇقلاش"
"AutoRecover","ئاپتوماتىك ئەسلىگە كەلتۈرۈش"
"auto redeem","ئۆزلۈكىدىن نەقلەش"
"auto-redial","ئاپتوماتىك قايتا چاقىرىش"
"AutoSave","ئاپتوماتىك ساقلاش"
"AutoShape","تەييار شەكىل"
"AutoShapes","ئاپتوماتىك شەكىل"
"AutoText","ئاپتوماتىك تېكست"
"auto top-up","ئاپتوماتىك تولدۇرۇش"
"availability","بىكار"
"availability indicator","ئۈنۈمدارلىق كۆرسەتكۈچى"
"available","ئىشلەتكىلى بولىدىغان"
"available disk space","بار دىسكا بوشلۇقى"
"available memory","يېتەرلىك ساقلىغۇچ"
"Avatar items","باش سۈرەتلەر"
"A/V Edge server","A/V قىر مۇلازىمىتېر"
"AVERAGE.WEIGHTED","AVERAGE.WEIGHTED"
"AVI","AVI"
"Away","ئايرىلىش"
"axis","ئوق"
"Azure Active Directory Connect","Azure Active Directory Connect"
"Azure AD Connect","Azure AD Connect"
"Azure HDInsight Spark","Azure HDInsight Spark"
"Azure Key Vault","Azure ئاچقۇچ ئىشكاپى"
"B2B","B2B"
"B2B Collaboration","B2B ھەمكارلىق"
"BAC","BAC"
"Back","ئارقىغا"
"Back button","زاپاسلاش كۇنۇپكىسى"
"back facing","ئارقىچە"
"background","تەگلىك"
"Background","تەگلىك"
"background color","تەگلىك رەڭگى"
"background graphics","تەگلىك گىرافىكى"
"Background pictures","تەگلىك رەسىمى"
"Background Removal","تەگلىك يۆتكەش"
"backslash","تەتۈر يانتۇ سىزىق"
"Backstage","Backstage"
"Backstage view","Backstage كۆرۈنۈشى"
"back up","زاپاسلىماق"
"backup","زاپاسلاش"
"Backup & manage","زاپاسلاش ۋە باشقۇرۇش"
"backup withholding","ئالدىن تۇتۇلىدىغان باج"
"bad debt","ئۈمىدسىز ھېسابات"
"badge","ئىزناك"
".bak",".bak"
"Balance","تەڭپۇڭ"
"balloon","شار"
"Banco do Brasil","Banco do Brasil"
"banded","سىزىقلىق"
"bandwidth","بەلباغ كەڭلىكى"
"bank","بانكا"
"bank code","بانكا كودى"
"Banking & investments","مەبلەغچىلىك"
"bank sorting code","بانكا تۈر نومۇرى"
"bank transit number","بانكا يۆتكەش نومۇرى"
"banner","تۇغ"
"bar code","تاياقچە كود"
"bar graph","تاياقچە گىرافىك"
"bar of pie chart","يۇملاق تاياقچە گىرافىك"
"Base64","ئۇل64"
"baseboard","ئانا تاختا"
"baseline","غول سىزىق"
"Base Smart Card Cryptographic Service Provider","ئاساسىي ئەقلىي كارتىلىق مەخپىيلەشتۈرۈش مۇلازىمىتىنى تەمىنلىگۈچ"
"Base Smart Card CSP","ئاساسىي ئەقلىي كارتا CSP"
"base style","ئاساسىي ئۇسلۇب"
"Basic Bending Process","ئاساسىي ئەگمە"
"Basic Block List","ئاساسىي رايون تىزىملىكى"
"Basic Chevron Process","ئاساسىي ئاچىماق"
"Basic Cycle","ئاساسىي ھالقا"
"Basic Matrix","ئاساسىي ماترىتسا"
"Basic Pie","ئاساسىي دۈگلەك"
"Basic Process","ئاساسىي جەريان"
"Basic Pyramid","ئاساسىي پىرامىدا"
"Basic Radial","ئاساسىي رادىيوس"
"Basic Target","ئاساسىي نىشان"
"Basic Timeline","ئاساسىي ۋاقىت سىزىقى"
"Basic Venn","ئاساسىي ئۆتۈشمە"
"battery","باتارېيە"
"battery charge","باتارېيە توكى"
"battery level","باتارېيە مىقدارى"
"battery life","باتارېيە ئۆمرى"
"battery saver","توك تېجەش"
"bcc","مەخپىي نۇسخا"
"BCM","سودا ئالاقە باشقۇرغۇچ"
"beacon","كۆزەتكۈچ"
"before event","بۇرۇنقى ھادىسە"
"benchmark","ئۆلچەك"
"bending","ئەگمە"
"bending picture","ئەگمە رەسىم"
"Bending Picture Accent List","ئەگمە رەسىملىك قاتلاملىق تىزىملىك"
"bending process","ئەگمە جەريان"
"beneficiary correspondent account","مەنپەئەتلەنگۈچىنىڭ ۋاكالەت ھېساباتى"
"beneficiary INN","مەنپەئەتلەنگۈچىنىڭ INN نومۇرى"
"beneficiary KPP","مەنپەئەتلەنگۈچىنىڭ KPP نومۇرى"
"beneficiary RUT","مەنپەئەتلەنگۈچىنىڭ RUT نومۇرى"
"Best rated","يۇقىرى باھالانغانلىرى"
"Best-rated apps","ئەڭ ئالقىشلىق ئەپلەر"
"Best-rated games","ئەڭ ئالقىشلىق ئويۇنلار"
"Best selling","ئەڭ بازارلىقلىرى"
"Best selling apps","بازارلىق ئەپلەر"
"Best selling games","بازارلىق ئويۇنلار"
"bevel","يانتولۇق"
"bidi","قوش يۆنىلىشلىك"
"bidirectional","قوش يۆنىلىشلىك"
"BIK","BIK"
"billfold","خاتىرە دەپتەر"
"billing","ھېساب بوغۇش"
"billing and invoicing","ھېساب بوغۇش ۋە تالون كېسىش"
"bin","سېۋەت"
"binary","ئىككىلىك"
"binary file","ئىككىلىك ھۆججەت"
"bind","باغلىماق"
"BIND","باغلاش"
"Binder","باغلىغۇچ"
"binding","باغلاش"
"Bing","Bing"
"Bing Maps","Bing خەرىتىسى"
"binomial distribution","ئىككى ئەزالىق تەقسىملەش"
"birthday reminder","توغۇلغان كۈن ئەسكەرتكۈچ"
"bit","بىت"
"BitLocker","BitLocker"
"BitLocker Drive Encryption","BitLocker قوزغاتقۇچنى مەخپىيلەشتۈرۈش"
"BitLocker encrypted installation","BitLocker مەخپىيلەشتۈرۈپ قاچىلاش"
"BitLocker Enterprise","BitLocker كارخانا"
"BitLocker network unlock","BitLocker تور قۇلۇپى ئېچىش"
"bitmap","چېكىتلىك تەسۋىر"
"bit rate","بىت نىسبىتى"
"bit toggling keypad","بىت ئالماشتۇرۇش تاختىسى"
"Blanch","ئاقارتقان"
"blank page","بوش بەت"
"blind carbon copy","يوشۇرۇن نۇسخا"
"blindness","قارىغۇ"
"block","چەكلەش"
"Block Cycle","بۆلەكلىك ھالقا"
"#BLOCKED!","#چەكلەندى!"
"Blocked Encodings List","يېزىق قارا تىزىملىكى"
"Blocked Senders List","خەت ئەۋەتكۈچىلەر قارا تىزىملىكى"
"Blocked Top-Level Domain List","تور نامى قارا تىزىملىكى"
"Block Quote","نەقىل"
"blog","تورتۇرا"
"Blog","بىلوگ"
"Bluetooth","Bluetooth"
"Bluetooth Smart","Bluetooth Smart"
"blur","غۇۋالاشتۇرماق"
"body text","مەزمۇن"
"bold","توم"
"Boleto Bancário","Boleto Bancário"
"book fold","قوش بەت"
"Bookings","Bookings"
"booking window","ամրագրման պատուհան"
"bookmark","خەتكۈش"
"bookmarklet","خەتكۈش"
"Books","كىتاب"
"Books & Reference","كىتاب-ماتېرىياللار"
"Boolean expression","بۇلىن ئىپادىسى"
"Boom","گۈللىنىش"
"border","چېگرا"
"Border Painter","چەك سىزغۇچ"
"Border Sampler","چەك ئۆرنەكچىسى"
"Border Styles gallery","چەك ئۇسلۇبلىرى توپلىمى"
"bot","روبوت"
"bound control","باغلىنىش تىزگىنى"
"bounding box","چەك رامكىسى"
"bound object frame","باغلىنىش ئوبيېكتى رامكىسى"
"box and whisker chart","ساندۇق ۋە يىپچە گىرافىك"
"Bradesco","Bradesco"
"branch","شاخ"
"branch code","تارماق بانكا نومۇرى"
"Brassy","مىس رەڭ"
"breach","يوچۇق"
"Breakdown","ئىنچىكە بۆلۈش"
"breakpoint","ئۈزۈلۈش نۇقتىسى"
"brightness","يورۇقلىقى"
"Bring Your Own Device","ئۆز ئۈسكۈنىسى بىلەن ئىشلەش"
"BRL","BRL"
"broadband","كەڭ بەلۋاغ"
"Broadcast Slide Show","تامتەسۋىر قويۇش"
"bronze","بىرونزا"
"browse","كۆرمەك"
"browser","تور كۆرگۈچ"
"browser extension","تور كۆرگۈچ كېڭەيتمىسى"
"browser safe","تور كۆرگۈچ بىخەتەر"
"browsing history","تارىخىي ئۇچۇرلىرىنى كۆرۈش"
"brute force attack","زورلۇق بىلەن يېشىش"
"BSB","BSB"
"Budgeting & taxes","خامچوت ۋە باج"
"buffer","بۇففېر"
"build","قۇرماق"
"building block","ئاساس بۆلەك"
"Building Blocks Organizer","قۇرۇلما بۆلەك ئورۇنلاشتۇرغۇچ"
"built-in administrator","ئىچكى باشقۇرغۇچى"
"built-in administrator account","ئىچكى باشقۇرغۇچى ھېساباتى"
"built-in app","ئىچكى ئەپ"
"built-in style","ئىچكى ئۇسلۇب"
"built-in toolbar","ئىچكى جابدۇقدان"
"Bulk Mode","توپ ھالەت"
"bullet","كۆرسەتكۈچ بەلگە"
"Bulleted list","ئوقلۇق تىزىملىك"
"bulleted list","ئوقلۇق تىزىملىك"
"bundle","توپلام"
"burn","ئويماق"
"bus","لىنىيە"
"business","سودا"
"Business","سودا"
"Business Card","سودا كارتىسى"
"Business center","كارخانا مەركىزى"
"Business Center","كارخانا مەركىزى"
"business-class email","كارخانا دەرىجىلىك تورخەت"
"Business Contact Manager","سودا ئالاقىسى باشقۇرغۇچ"
"Business Contact Manager Home Page","سودا ئالاقىسى باشقۇرغۇچ باشبېتى"
"business database","سودا ساندانى"
"business email","كارخانا تورخېتى"
"Business Intelligence Center","سودا ئۇچۇرى مەركىزى"
"business tool","خىزمەت قورالى"
"busy","ئالدىراش"
"Busy","ئالدىراش"
"busy signal","ئالدىراش سىگنال"
"button","كۇنۇپكا"
"Buy","سېتىۋېلىش"
"Buy Skype Credit","Skype تەڭگىسى سېتىۋېلىش"
"by default","سۈكۈت بۇيىچە"
"BYOC/CAL discount","BYOC/CAL ئېتىبار باھاسى"
"BYOD","BYOD"
"byte","بايت"
"CA","CA"
"CA certificate","CA ئىجازەتنامىسى"
"cache","غەملەك"
"CAD","CAD"
"calculated column","ھېسابلانغان رەت"
"calculated field","نەتىجە ئورنى"
"calculated measure","ھېسابلانغان بىرلىك"
"calculated member","ھېسابلانغان ئەزا"
"calculator","ھېسابلىغۇچ"
"Calculator","ھېسابلىغۇچ"
"Calendar","كالېندار"
"calendar","كالېندار"
"calendar group","كالېندار گۇرۇپپىسى"
"Calendar Groups","كالېندار گۇرۇپپىلىرى"
"calendar item peek","ئورۇنلاشتۇرمىلارنى كۆرۈش"
"calendar list","كالېندار تىزىملىكى"
"Calendar peek","كۈنتەرتىپلەرنى كۆرۈش"
"Calendar Preview","كالېندارنى كۆرۈپ بېقىش"
"Calendar Printing Assistant","كالېندار بېسىش ياردەمچىسى"
"calendar program","كالېندار پىروگراممىسى"
"Calendar Snapshot","كالېندارچە"
"calendar view","كالېنداردا كۆرۈش"
"Calendar World Readiness","كالېندار دۇنياسى تەييارلىقى"
"Call","تېلېفون"
"call","چاقىرىش"
"caller ID","چاقىرغۇچى ID"
"caller identification","چاقىرغۇچى كىملىكى"
"call forwarding","چاقىرىشنى يۆتكەش"
"calling channel","چاقىرىش يولى"
"Calling Plan","سۆزلىشىش پىلانى"
"call log","مىقدار چاقىرىق خاتىرىسى"
"callout","ئىزاھ"
"call phones","تېلېفوننى چاقىرىش"
"call queue","چاقىرىق ئۆچرىتى"
"camera","كامېرا"
"Camera","كامېرا"
"camera roll","كامېرا ئايلاندۇرۇش"
"campaign code","ھەرىكەت كودى"
"canary","canary"
"canary value","canary قىممىتى"
"cancel","ىكار قىلىش"
"capability","ئىقتىدارى"
"CAPI","CAPI"
"CAPI2","CAPI2"
"Capitalization of March and May","چوڭ ھەرپلىك مارت ۋە ماي"
"capitalized","چوڭ ھەرپلىك"
"CAPS LOCK","CAPS LOCK"
"CAPS LOCK key","CAPS LOCK كۇنۇپكىسى"
"caption","تېما"
"Captions & Subtitles","جانلىق تېكىست ۋە خەت"
"captive portal","تور كىرىش ئېغىزى"
"capture","تۇتۇش"
"capture device","تۇتۇش ئۈسكۈنىسى"
"card","كارتا"
"Card & board","قارتا-شاھمات"
"Card gallery","كارتا ئامبىرى"
"card reader","كارتا ئوقۇغۇچ"
"card validation code","كارتا تەكشۈرۈش كودى"
"Card Verification Value","كارتا تەكشۈرۈش قىممىتى"
"caret","قىستۇرۇش بەلگىسى"
"carousel","تاسما"
"carousel view","تاسما كۆرۈنۈش"
"cart","ھارۋا"
"cascading menu","قەۋەتلىك تىزىملىك"
"case","مۇراجىئەت"
"Cashback","نەق پۇل قايتۇرۇش"
"Casino","قىمار"
"cast","يەتكۈزۈش"
"cast and crew","ئارتىس خىزمەتچىلەر"
"Cast to Device","ئۈسكۈنىگە يەتكۈزۈش"
"catalog","كاتالوگ"
"Categories","كاتېگورىيەلەر"
"category","سەھىپە"
"category axis","تۈر ئوقى"
"category field","تۈر ئورنى"
"CBR","CBR"
"cc","كۆچۈرۈلمە"
"CCM","CCM"
"cc:Mail","cc:Mail"
"C corporation","C شىركەت"
"CD","نۇر دىسكا"
"CDP","CDP"
"CD player","CD قويغۇچ"
"CD-R","CD-R"
"CD-ROM","CD-ROM"
"CD-RW","CD-RW"
"CEIP","CEIP"
"cell","كاتەك"
"cell range","كاتەكچە قاتارى"
"cell reference","كاتەكچە مۇناسىۋىتى"
"cell spacing","كاتەكچە ئارىلىقى"
"Cellular Data","Cellular Data"
"cellular data","تبادله دیتای مبایل"
"Cellular data","Cellular data"
"cellular network","شبکه دیتای مبایل"
"center","مەركەز"
"Central Bank MFO Code","مەركىزى بانكا MFO نومۇرى"
"central bank transaction code","مەركىزى بانكا مۇئامىلە نومۇرى"
"central location","مەركىزىي ئورۇن"
"Central Publishing service","مەركىزىي تارقىتىش مۇلازىمىتى"
"certificate","گۇۋاھنامە"
"certificate chaining","گۇۋاھنامە زەنجىرى"
"certificate revocation checking","كىنىشكا تەكشۈرۈش"
"certificate revocation list distribution point","گۇۋاھنامە بىكار قىلىش تىزىملىكى تارقىتىش نۇقتىسى"
"certification status","گۇۋاھنامە ھالىتى"
"challenge","سۈرۈشتۈرۈش"
"change","ئۆزگەرتمەك"
"changed lines","ئۆزگەرتىلگەن قۇرلار"
"Change Graphic","گىرافىك ئۆزگەرتىش"
"change hint","ئۆزگىرىش ئۇچۇرلىرى"
"change history","تارىخنى ئۆزگەرتىش"
"change log","ئۆزگەرتىش خاتىرىسى"
"change marker","ئۆزگەرتىش بەلگىسى"
"Changes","ئۆزگەرتىش"
"channel","قانال"
"channel partner","قانال ھەمكارلاشقۇچى"
"chapter","باب"
"char","char"
"character","ھەرپ-بەلگە"
"character code","ھەرپ كودى"
"character formatting","ھەرپ فورماتلاش"
"character set","ھەرپ-بەلگە توپلىمى"
"character spacing","ھەرپ ئارىلىقى"
"character style","بەلگە ئۇسلۇبى"
"chargeback","ھەق قايتۇرۇش"
"charm","بەلگە"
"chart","جەدۋەل"
"chart area","گىرافىك رايونى"
"Chart Component","گىرافىك ئېلېمېنتى"
"chart effect option","گىرافىك ئۈنۈمى تاللانمىسى"
"chart element","گىرافىك ئېلېمېنتى"
